"消防緊急救護急救處置","總次數","呼吸道處置","口咽呼吸道","鼻咽呼吸道","抽吸","鼻管","面罩","非再呼吸型面罩","BVM","SGA","氣管內管","霧化吸入型面罩","哈姆立克法","其他","創傷處置","頸圈","清洗傷口","包紮止血","長背板固定","鏟式擔架固定","KED固定","骨折固定","夾板固定","抽吸式護木","其他","心肺復甦術","自動心肺復甦機","CPR","使用AED/不建議電擊","使用AED/電擊","藥物處置","靜脈輸液","口服葡萄糖","建議給藥","其他處置","保暖"
"109年 8月/ 雲林縣","6,047","363","1","3","6","32","137","57","67","51","-","3","1","5","2,064","248","811","754","133","-","10","97","-","-","11","148","38","55","49","6","45","15","29","-","3,427","1,028"
"109年 8月/ 嘉義縣","5,952","254","2","1","1","44","108","32","39","25","-","-","1","1","2,700","66","498","454","74","-","4","58","-","-","1,546","100","15","41","36","8","33","4","28","-","2,865","1,167"
"109年 8月/ 屏東縣","7,135","520","3","1","5","88","224","51","91","54","-","1","-","2","2,436","140","1,060","959","167","-","11","99","-","-","-","202","28","85","69","20","18","3","11","-","3,959","996"
"109年 8月/ 臺東縣","2,870","226","2","10","10","40","82","25","37","16","-","1","2","1","1,065","71","429","419","87","-","2","57","-","-","-","106","32","35","31","8","66","50","14","-","1,407","101"
"109年 8月/ 花蓮縣","4,346","300","1","1","5","38","77","93","42","32","-","1","1","9","908","158","527","-","112","-","8","72","-","-","31","97","29","34","28","6","83","65","12","-","2,958","1,091"
"109年 8月/ 澎湖縣","1,191","65","1","-","-","15","22","13","9","5","-","-","-","-","465","26","202","193","33","-","-","11","-","-","-","21","5","8","6","2","2","-","2","-","638","128"
"109年 8月/ 基隆市","2,423","184","11","-","-","30","100","17","18","8","-","-","-","-","815","19","375","372","22","-","2","25","-","-","-","43","10","17","13","3","20","-","19","-","1,361","51"
"109年 8月/ 新竹市","3,655","211","1","-","6","35","76","44","31","17","-","-","1","-","1,324","59","659","509","68","-","2","27","-","-","-","85","17","30","37","1","35","19","15","-","2,000","51"
"109年 8月/ 嘉義市","2,715","145","1","5","2","20","57","21","24","15","-","-","-","-","1,035","58","474","432","51","-","-","20","-","-","-","64","17","23","19","5","21","13","7","-","1,450","423"
"109年 8月/ 金門縣","581","42","1","-","2","11","14","6","5","3","-","-","-","-","215","7","94","90","14","-","-","10","-","-","-","11","3","5","2","1","4","3","1","-","309","37"
"109年 8月/ 連江縣","132","4","-","-","-","1","2","1","-","-","-","-","-","-","24","1","7","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","101","31"
"109年 8月/ 基隆港","73","7","1","-","-","1","4","-","1","-","-","-","-","-","27","1","11","12","3","-","-","-","-","-","-","4","-","1","2","1","-","-","-","-","35","13"
"109年 8月/ 臺中港","40","10","-","-","-","-","10","-","-","-","-","-","-","-","14","2","5","4","2","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","16","8"
"109年 8月/ 高雄港","98","7","2","-","-","1","2","-","2","-","-","-","-","-","51","8","17","17","5","-","-","1","-","-","3","4","-","2","-","2","-","-","-","-","36","7"
"109年 8月/ 花蓮港","6","1","-","-","-","-","1","-","-","-","-","-","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","1"
"109年 9月/ 區域別總計","197,511","12,893","175","164","114","2,291","4,596","2,188","1,944","1,169","-","37","12","203","72,380","3,643","30,865","28,368","3,046","-","201","2,569","-","-","3,688","3,994","949","1,519","1,229","297","2,743","1,972","584","-","105,495","22,828"
"109年 9月/ 新北市","31,248","1,653","20","43","8","504","224","352","351","117","-","11","1","22","10,668","429","5,014","4,574","228","-","16","407","-","-","-","432","121","156","119","36","836","638","90","-","17,659","2,133"
"109年 9月/ 臺北市","19,004","1,456","16","4","10","172","648","243","251","103","-","2","1","6","6,252","449","2,626","2,595","186","-","4","227","-","-","165","333","73","133","110","17","228","130","82","-","10,735","510"
"109年 9月/ 桃園市","18,348","1,703","35","23","24","219","872","182","155","106","-","1","-","86","5,756","292","2,395","2,381","251","-","16","264","-","-","157","378","114","137","99","28","422","386","17","-","10,089","2,460"
"109年 9月/ 臺中市","26,969","1,514","34","50","17","256","494","266","214","170","-","2","1","10","9,093","283","4,205","3,918","349","-","7","331","-","-","-","469","103","186","136","44","163","79","81","-","15,730","4,641"
"109年 9月/ 臺南市","14,181","1,015","6","1","5","205","316","244","129","82","-","17","1","9","6,428","375","2,800","2,608","269","-","8","219","-","-","149","310","76","115","106","13","321","273","40","-","6,107","994"
"109年 9月/ 高雄市","19,080","1,215","7","2","6","284","310","280","184","128","-","-","1","13","9,733","434","4,381","3,941","461","-","19","323","-","-","174","449","104","171","148","26","180","147","20","-","7,503","992"
"109年 9月/ 宜蘭縣","4,316","297","2","2","3","28","135","30","54","39","-","-","-","4","1,596","81","741","625","93","-","4","52","-","-","-","108","18","45","43","2","20","10","9","-","2,295","502"
"109年 9月/ 新竹縣","4,329","250","2","3","1","43","85","51","33","25","-","1","1","5","1,505","106","573","558","124","-","20","75","-","-","49","75","15","30","23","7","73","49","20","-","2,426","702"
"109年 9月/ 苗栗縣","4,594","313","11","-","1","40","160","40","36","23","-","-","-","2","1,306","71","562","523","98","-","2","50","-","-","-","78","17","31","23","7","19","3","15","-","2,878","1,338"
"109年 9月/ 彰化縣","13,727","760","8","11","8","125","331","82","109","80","-","-","1","5","4,487","204","1,863","1,829","227","-","5","176","-","-","183","323","82","119","94","28","118","61","56","-","8,039","3,143"
"109年 9月/ 南投縣","3,982","298","1","1","-","38","145","44","42","23","-","-","-","4","1,352","87","576","535","-","-","60","-","-","-","94","92","22","35","28","7","32","9","23","-","2,206","644"
"109年 9月/ 雲林縣","5,930","381","2","2","5","43","150","58","58","49","-","2","3","9","1,953","231","787","717","111","-","5","92","-","-","10","133","30","52","48","3","61","31","29","-","3,402","1,030"
"109年 9月/ 嘉義縣","7,492","301","2","-","2","48","108","34","59","44","-","1","-","3","3,934","93","524","484","97","-","7","55","-","-","2,674","138","23","55","44","16","25","5","19","-","3,094","1,262"
"109年 9月/ 屏東縣","7,371","542","7","2","3","90","227","63","79","59","-","-","-","12","2,672","141","1,161","1,064","191","-","14","101","-","-","-","177","23","75","56","23","37","11","25","-","3,943","878"
"109年 9月/ 臺東縣","2,468","201","1","10","4","39","67","31","31","16","-","-","1","1","887","62","360","358","69","-","3","35","-","-","-","105","26","37","38","4","64","50","13","-","1,211","70"
"109年 9月/ 花蓮縣","3,557","291","2","4","5","48","65","78","48","38","-","-","-","3","818","141","478","-","96","-","5","67","-","-","31","114","34","40","36","4","54","51","-","-","2,280","685"
"109年 9月/ 澎湖縣","982","72","-","-","1","15","35","12","5","4","-","-","-","-","362","18","158","151","24","-","-","11","-","-","-","13","1","6","4","2","1","-","1","-","534","129"
"109年 9月/ 基隆市","2,396","175","16","-","2","16","80","11","33","16","-","-","1","-","812","30","364","365","31","-","1","21","-","-","-","94","25","33","20","16","15","-","12","-","1,300","54"
"109年 9月/ 新竹市","3,674","229","-","-","2","40","74","46","39","24","-","-","-","4","1,372","64","654","547","76","-","2","29","-","-","-","97","24","35","32","6","38","17","21","-","1,938","63"
"109年 9月/ 嘉義市","2,977","154","2","5","5","22","49","23","25","18","-","-","-","5","1,076","39","510","471","36","-","1","19","-","-","-","53","15","19","15","4","29","19","10","-","1,665","510"
"109年 9月/ 金門縣","558","49","-","-","2","14","14","11","4","4","-","-","-","-","221","4","100","95","12","-","2","8","-","-","-","11","3","4","4","-","6","3","-","-","271","28"
"109年 9月/ 連江縣","115","2","-","-","-","-","2","-","-","-","-","-","-","-","17","-","6","6","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","92","28"
"109年 9月/ 基隆港","50","2","-","1","-","-","-","1","-","-","-","-","-","-","24","2","6","7","3","-","-","6","-","-","-","-","-","-","-","-","-","-","-","-","24","6"
"109年 9月/ 臺中港","58","5","-","-","-","1","1","3","-","-","-","-","-","-","18","3","7","5","2","-","-","-","-","-","1","-","-","-","-","-","1","-","1","-","34","15"
"109年 9月/ 高雄港","93","11","1","-","-","1","3","-","5","1","-","-","-","-","37","4","14","11","6","-","-","1","-","-","1","12","-","5","3","4","-","-","-","-","33","8"
"109年 9月/ 花蓮港","12","4","-","-","-","-","1","3","-","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7","3"
"109年 10月/ 區域別總計","209,627","13,706","182","166","113","2,074","5,070","2,406","2,160","1,235","-","46","13","241","75,747","3,728","32,266","29,647","3,363","-","139","2,868","-","-","3,736","4,295","1,056","1,621","1,249","369","2,676","1,935","538","-","113,168","26,221"
"109年 10月/ 新北市","33,001","1,891","21","60","10","244","598","419","387","105","-","18","1","28","11,019","450","5,193","4,694","258","-","16","408","-","-","-","412","119","148","111","34","832","637","76","-","18,847","2,516"
"109年 10月/ 臺北市","19,088","1,554","16","4","13","157","690","271","280","111","-","1","2","9","5,860","432","2,442","2,419","171","-","3","216","-","-","177","351","90","139","92","30","221","138","69","-","11,102","677"
"109年 10月/ 桃園市","19,147","1,743","39","19","14","254","803","198","200","121","-","-","1","94","5,895","307","2,446","2,427","283","-","12","258","-","-","162","481","149","171","130","31","395","356","18","-","10,633","2,898"
"109年 10月/ 臺中市","29,141","1,655","29","41","15","241","569","313","241","188","-","4","-","14","9,732","337","4,437","4,148","416","-","8","386","-","-","-","529","120","203","134","72","194","94","97","-","17,031","5,265"
"109年 10月/ 臺南市","15,620","1,115","10","4","6","175","375","241","175","99","-","17","1","12","7,273","371","3,190","2,997","320","-","8","246","-","-","141","360","86","137","109","28","319","277","35","-","6,553","1,238"
"109年 10月/ 高雄市","19,904","1,186","7","3","10","295","280","289","174","105","-","-","3","20","10,247","376","4,643","4,228","431","-","14","387","-","-","168","406","102","148","127","29","169","131","20","-","7,896","1,108"
"109年 10月/ 宜蘭縣","4,889","341","5","2","7","42","164","30","48","37","-","-","-","6","1,702","95","764","662","112","-","10","59","-","-","-","99","11","42","45","1","26","13","11","-","2,721","667"
"109年 10月/ 新竹縣","5,072","359","5","5","1","37","90","97","63","48","-","2","-","11","1,700","115","648","637","142","-","14","95","-","-","49","136","28","54","40","14","100","79","17","-","2,777","863"
"109年 10月/ 苗栗縣","5,149","335","4","1","1","47","161","48","41","27","-","-","-","5","1,371","76","570","541","113","-","6","65","-","-","-","100","23","40","30","7","16","2","13","-","3,327","1,531"
"109年 10月/ 彰化縣","14,056","743","3","12","7","139","325","61","109","83","-","-","2","2","4,652","213","1,926","1,898","240","-","7","171","-","-","197","321","81","119","91","30","104","52","49","-","8,236","3,295"
"109年 10月/ 南投縣","4,560","306","-","1","2","38","137","43","43","34","-","-","-","8","1,555","91","685","627","82","-","6","64","-","-","-","97","29","34","24","10","18","6","12","-","2,550","699"
"109年 10月/ 雲林縣","6,266","387","6","4","4","44","137","68","66","51","-","2","-","5","2,021","238","821","728","122","-","7","98","-","-","7","140","29","56","48","7","61","25","35","-","3,657","1,147"
"109年 10月/ 嘉義縣","8,090","316","4","1","1","55","119","57","47","30","-","-","1","1","4,226","107","602","548","111","-","5","62","-","-","2,791","131","27","49","46","9","21","5","15","-","3,396","1,384"
"109年 10月/ 屏東縣","7,921","609","11","2","5","112","207","70","111","74","-","-","-","17","2,721","143","1,182","1,078","195","-","9","114","-","-","-","258","43","104","76","35","26","10","16","-","4,307","983"
"109年 10月/ 臺東縣","2,612","176","3","1","7","36","56","21","32","18","-","-","2","-","989","62","407","391","82","-","1","46","-","-","-","100","29","35","30","6","44","37","7","-","1,303","113"
"109年 10月/ 花蓮縣","3,967","276","2","2","5","36","83","78","36","29","-","1","-","4","855","140","508","-","89","-","8","67","-","-","43","92","26","33","31","2","45","37","-","-","2,699","880"
"109年 10月/ 澎湖縣","859","77","-","-","1","22","30","8","7","7","-","-","-","2","301","16","134","117","23","-","-","11","-","-","-","22","4","9","9","-","7","-","7","-","452","105"
"109年 10月/ 基隆市","2,308","177","13","-","1","20","89","15","26","13","-","-","-","-","728","20","332","331","25","-","-","20","-","-","-","63","14","26","13","10","11","-","11","-","1,329","104"
"109年 10月/ 新竹市","3,821","231","1","2","1","38","79","42","39","29","-","-","-","-","1,407","57","673","566","66","-","-","45","-","-","-","113","27","42","37","7","29","10","18","-","2,041","88"
"109年 10月/ 嘉義市","3,303","170","1","2","1","29","58","28","27","22","-","1","-","1","1,166","49","543","491","53","-","2","28","-","-","-","70","18","26","19","7","36","25","11","-","1,861","551"
"109年 10月/ 金門縣","575","41","-","-","1","11","15","7","3","3","-","-","-","1","240","19","94","91","19","-","2","15","-","-","-","9","1","4","4","-","2","1","1","-","283","47"
"109年 10月/ 連江縣","98","4","-","-","-","1","1","1","1","-","-","-","-","-","22","3","6","7","5","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","71","24"
"109年 10月/ 基隆港","54","2","1","-","-","-","-","-","1","-","-","-","-","-","18","2","6","6","1","-","-","3","-","-","-","-","-","-","-","-","-","-","-","-","34","13"
"109年 10月/ 臺中港","39","4","-","-","-","-","3","-","1","-","-","-","-","-","13","4","4","3","2","-","-","-","-","-","-","1","-","-","1","-","-","-","-","-","21","10"
"109年 10月/ 高雄港","84","8","1","-","-","1","1","1","2","1","-","-","-","1","34","5","10","12","2","-","-","4","-","-","1","4","-","2","2","-","-","-","-","-","38","14"
"109年 10月/ 花蓮港","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3","1"
"109年 11月/ 區域別總計","210,493","13,400","144","150","113","1,941","4,920","2,436","2,145","1,272","-","62","17","200","75,851","3,884","32,198","29,603","3,435","-","159","2,922","-","-","3,650","4,379","1,098","1,634","1,278","369","2,703","1,898","608","-","114,116","27,443"
"109年 11月/ 新北市","33,728","1,883","20","38","11","214","557","412","424","146","-","32","3","26","11,388","501","5,366","4,793","290","-","16","422","-","-","-","525","139","194","142","50","881","708","80","-","19,051","2,608"
"109年 11月/ 臺北市","20,204","1,578","12","6","5","184","720","276","251","105","-","2","-","17","6,405","514","2,655","2,630","178","-","5","234","-","-","189","365","101","138","112","14","212","120","76","-","11,644","733"
"109年 11月/ 桃園市","19,318","1,679","37","16","17","223","802","205","191","112","-","1","1","74","5,886","299","2,427","2,411","303","-","16","276","-","-","154","447","142","155","131","19","413","330","71","-","10,893","3,052"
"109年 11月/ 臺中市","28,935","1,569","26","47","23","220","486","307","250","199","-","3","1","7","9,626","316","4,414","4,121","405","-","11","359","-","-","-","548","128","207","150","63","165","81","79","-","17,027","5,446"
"109年 11月/ 臺南市","15,471","1,142","5","3","11","183","372","275","159","97","-","19","2","16","6,930","405","3,000","2,822","310","-","7","236","-","-","150","344","84","132","95","33","327","272","46","-","6,728","1,474"
"109年 11月/ 高雄市","19,613","1,209","4","3","6","291","282","301","181","128","-","-","3","10","10,079","426","4,531","4,106","453","-","16","372","-","-","175","423","107","157","121","38","128","100","14","-","7,774","1,161"
"109年 11月/ 宜蘭縣","4,877","302","3","1","3","37","141","28","47","40","-","-","-","2","1,656","96","759","617","105","-","6","73","-","-","-","110","21","44","39","6","36","28","8","-","2,773","719"
"109年 11月/ 新竹縣","5,008","271","4","3","1","39","90","53","40","28","-","2","-","11","1,718","105","660","646","125","-","19","115","-","-","48","94","20","37","29","8","80","53","21","-","2,845","932"
"109年 11月/ 苗栗縣","5,388","336","2","1","-","35","158","56","47","32","-","1","1","3","1,556","93","667","614","109","-","2","71","-","-","-","110","23","44","40","3","25","4","19","-","3,361","1,536"
"109年 11月/ 彰化縣","14,236","726","7","13","6","111","304","86","116","79","-","1","1","2","4,741","195","1,987","1,957","229","-","8","169","-","-","196","300","78","109","80","33","99","38","57","-","8,370","3,438"
"109年 11月/ 南投縣","4,609","295","2","1","2","31","116","54","49","35","-","-","-","5","1,537","96","636","593","114","-","10","88","-","-","-","118","30","44","28","16","26","8","17","-","2,589","745"
"109年 11月/ 雲林縣","6,047","365","4","3","2","43","129","68","62","50","-","1","1","2","2,033","233","795","747","143","-","3","104","-","-","8","136","33","52","48","3","55","27","25","-","3,458","1,104"
"109年 11月/ 嘉義縣","7,838","302","2","1","1","60","110","44","49","34","-","-","1","-","4,013","77","568","525","84","-","7","66","-","-","2,686","132","32","48","43","9","34","8","22","-","3,357","1,395"
"109年 11月/ 屏東縣","7,998","554","5","-","2","95","200","50","104","80","-","-","-","18","2,803","145","1,203","1,123","215","-","14","103","-","-","-","255","40","102","76","37","35","11","21","-","4,351","1,049"
"109年 11月/ 臺東縣","2,310","205","1","9","8","38","74","33","31","9","-","-","2","-","779","52","323","316","54","-","-","34","-","-","-","89","21","33","29","6","38","30","7","-","1,199","143"
"109年 11月/ 花蓮縣","3,691","256","-","1","3","26","85","79","35","24","-","-","1","2","820","148","456","-","104","-","8","62","-","-","42","88","26","31","25","6","57","43","-","-","2,470","832"
"109年 11月/ 澎湖縣","729","62","-","-","-","18","18","10","8","7","-","-","-","1","224","12","98","83","14","-","4","13","-","-","-","22","6","8","3","5","6","-","6","-","415","103"
"109年 11月/ 基隆市","2,586","204","10","1","-","23","102","19","31","16","-","-","-","2","804","27","361","351","28","-","2","35","-","-","-","75","18","28","18","11","21","3","17","-","1,482","160"
"109年 11月/ 新竹市","3,747","236","-","2","7","43","77","47","36","22","-","-","-","2","1,367","62","643","541","68","-","2","51","-","-","-","107","26","38","38","5","23","13","10","-","2,014","110"
"109年 11月/ 嘉義市","3,226","180","-","-","4","25","72","25","29","25","-","-","-","-","1,111","59","500","465","67","-","-","20","-","-","-","80","20","29","27","4","39","21","10","-","1,816","588"
"109年 11月/ 金門縣","660","34","-","1","1","2","18","5","4","3","-","-","-","-","267","9","115","108","19","-","1","15","-","-","-","9","3","3","3","-","3","-","2","-","347","60"
"109年 11月/ 連江縣","74","3","-","-","-","-","2","1","-","-","-","-","-","-","20","2","7","6","4","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","51","17"
"109年 11月/ 基隆港","44","5","-","-","-","-","4","1","-","-","-","-","-","-","13","1","2","3","5","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","26","9"
"109年 11月/ 臺中港","49","1","-","-","-","-","-","1","-","-","-","-","-","-","24","6","7","5","4","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","24","12"
"109年 11月/ 高雄港","93","3","-","-","-","-","1","-","1","1","-","-","-","-","44","5","15","17","4","-","1","2","-","-","-","2","-","1","1","-","-","-","-","-","44","14"
"109年 11月/ 花蓮港","14","-","-","-","-","-","-","-","-","-","-","-","-","-","7","-","3","3","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7","3"
"109年 12月/ 區域別總計","221,301","14,642","175","168","97","1,954","5,308","2,695","2,455","1,468","-","68","27","227","74,186","3,814","31,325","28,777","3,422","-","168","2,963","-","-","3,717","5,010","1,314","1,833","1,373","490","2,822","1,877","733","-","124,587","33,257"
"109年 12月/ 新北市","34,506","2,096","24","49","11","208","656","451","488","142","-","26","5","36","10,348","437","4,893","4,362","234","-","23","399","-","-","-","569","157","206","159","47","882","690","90","-","20,611","3,502"
"109年 12月/ 臺北市","20,771","1,807","8","16","9","194","789","326","316","140","-","2","3","4","5,775","487","2,357","2,327","196","-","4","232","-","-","172","430","107","169","120","34","239","152","76","-","12,520","1,081"
"109年 12月/ 桃園市","20,558","1,863","44","23","16","208","854","232","228","153","-","-","3","102","5,480","312","2,214","2,197","296","-","22","268","-","-","171","570","174","203","153","40","413","269","122","-","12,232","3,956"
"109年 12月/ 臺中市","30,510","1,682","26","39","15","213","517","342","280","232","-","8","-","10","9,684","305","4,449","4,125","393","-","13","399","-","-","-","658","158","249","162","89","158","78","70","-","18,328","6,176"
"109年 12月/ 臺南市","16,964","1,248","9","3","4","168","391","300","201","139","-","20","2","11","7,225","399","3,144","2,929","341","-","12","263","-","-","137","477","128","174","138","37","351","274","64","-","7,663","1,870"
"109年 12月/ 高雄市","21,935","1,336","5","5","9","304","369","292","194","140","-","-","4","14","11,032","454","4,973","4,558","489","-","18","383","-","-","157","451","119","162","143","27","159","110","35","-","8,957","1,689"
"109年 12月/ 宜蘭縣","4,786","313","3","2","3","38","133","30","51","45","-","-","-","8","1,491","98","671","542","93","-","10","77","-","-","-","116","19","48","45","4","46","32","12","-","2,820","799"
"109年 12月/ 新竹縣","5,282","345","7","-","3","45","103","91","52","35","-","1","1","7","1,592","90","620","603","106","-","13","118","-","-","42","114","26","44","32","12","73","59","10","-","3,158","1,161"
"109年 12月/ 苗栗縣","5,103","325","-","-","-","36","143","58","47","35","-","-","1","5","1,353","82","561","510","132","-","2","66","-","-","-","111","27","42","31","11","21","3","18","-","3,293","1,514"
"109年 12月/ 彰化縣","14,651","767","6","10","7","128","323","70","135","86","-","-","2","-","4,484","213","1,836","1,812","248","-","5","177","-","-","193","371","135","104","35","97","116","54","58","-","8,913","3,690"
"109年 12月/ 南投縣","4,807","337","-","-","-","35","150","52","57","43","-","-","-","-","1,436","101","612","557","95","-","7","64","-","-","-","150","44","53","37","16","28","7","21","-","2,803","886"
"109年 12月/ 雲林縣","6,320","372","4","4","2","36","129","73","65","53","-","4","-","2","1,868","232","741","666","116","-","7","93","-","-","13","149","42","54","47","6","65","21","40","-","3,866","1,346"
"109年 12月/ 嘉義縣","8,133","290","4","1","1","52","118","41","40","32","-","-","-","1","4,127","88","564","523","100","-","6","61","-","-","2,785","111","25","41","33","12","31","1","23","-","3,574","1,537"
"109年 12月/ 屏東縣","8,828","584","3","3","5","93","197","78","105","83","-","-","-","17","3,071","197","1,281","1,219","234","-","13","127","-","-","-","235","30","101","76","28","38","8","28","-","4,900","1,388"
"109年 12月/ 臺東縣","2,461","214","4","5","6","37","77","42","27","8","-","3","5","-","799","44","328","325","60","-","1","41","-","-","-","74","17","27","28","2","49","35","11","-","1,325","172"
"109年 12月/ 花蓮縣","3,983","302","5","3","3","44","74","90","41","33","-","3","-","6","732","120","421","-","85","-","4","59","-","-","43","102","30","36","31","5","46","35","-","-","2,801","993"
"109年 12月/ 澎湖縣","825","76","-","1","-","15","24","14","12","7","-","-","1","2","236","16","95","87","26","-","-","12","-","-","-","24","5","9","8","2","4","-","4","-","485","181"
"109年 12月/ 基隆市","2,488","201","14","-","-","21","103","17","32","13","-","-","-","1","651","21","291","288","24","-","-","27","-","-","-","79","19","30","18","12","17","1","16","-","1,540","252"
"109年 12月/ 新竹市","4,147","255","5","2","-","42","77","57","47","25","-","-","-","-","1,422","62","659","569","79","-","1","52","-","-","-","128","31","47","48","2","46","19","25","-","2,296","230"
"109年 12月/ 嘉義市","3,366","156","2","2","3","23","60","18","28","19","-","1","-","-","1,076","34","510","472","37","-","3","20","-","-","-","69","17","25","24","3","38","27","10","-","2,027","680"
"109年 12月/ 金門縣","604","49","-","-","-","13","15","10","6","4","-","-","-","1","202","13","77","72","21","-","3","16","-","-","-","13","3","5","3","2","-","-","-","-","340","100"
"109年 12月/ 連江縣","57","1","-","-","-","-","1","-","-","-","-","-","-","-","20","2","7","7","4","-","-","-","-","-","-","-","-","-","-","-","2","2","-","-","33","9"
"109年 12月/ 基隆港","83","11","1","-","-","1","3","5","1","-","-","-","-","-","26","3","6","8","4","-","1","3","-","-","1","3","1","1","1","-","-","-","-","-","43","21"
"109年 12月/ 臺中港","80","4","-","-","-","-","1","1","1","1","-","-","-","-","35","2","10","13","6","-","-","4","-","-","-","2","-","1","1","-","-","-","-","-","39","19"
"109年 12月/ 高雄港","53","8","1","-","-","-","1","5","1","-","-","-","-","-","21","2","5","6","3","-","-","2","-","-","3","4","-","2","-","2","-","-","-","-","20","5"
"109年 12月/ 花蓮港","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"110年/ 區域別總計","2,358,532","163,773","1,549","1,438","1,177","22,328","60,051","36,829","23,355","13,610","-","643","203","2,590","795,395","39,779","333,240","308,374","35,286","-","1,545","31,240","-","-","45,931","54,290","13,894","20,091","16,128","4,177","32,109","21,933","8,043","-","1,312,965","305,428"
"110年/ 新北市","377,367","21,573","188","347","79","2,366","6,598","6,288","4,038","1,289","-","165","24","191","116,800","4,798","54,776","49,934","2,806","-","172","4,314","-","-","-","6,261","1,724","2,280","1,726","531","9,517","7,535","942","-","223,216","29,473"
"110年/ 臺北市","215,323","20,946","54","53","76","1,981","9,993","4,592","2,667","1,294","-","106","12","118","61,780","4,482","25,759","25,525","1,774","-","17","1,950","-","-","2,273","4,596","1,115","1,822","1,353","306","2,612","1,487","962","-","125,389","6,432"
"110年/ 桃園市","211,347","20,187","345","223","208","2,487","8,894","2,946","2,556","1,319","-","32","19","1,158","59,493","3,260","24,418","24,202","2,961","-","189","3,135","-","-","1,328","5,001","1,536","1,763","1,386","316","4,505","3,273","1,021","-","122,161","32,565"
"110年/ 臺中市","306,462","17,450","239","376","152","2,316","5,527","4,242","2,482","1,869","-","38","11","198","93,517","3,107","42,359","39,557","3,903","-","69","4,197","-","-","325","6,642","1,664","2,476","1,816","686","1,939","924","942","-","186,914","60,096"
"110年/ 臺南市","181,519","14,131","81","52","98","2,144","4,685","3,934","1,732","1,035","-","221","9","140","75,966","4,459","32,864","30,955","3,299","-","111","2,698","-","-","1,580","3,977","980","1,502","1,223","272","3,688","2,995","611","-","83,757","16,531"
"110年/ 高雄市","230,788","15,901","45","35","103","3,492","3,742","4,213","2,363","1,694","-","-","38","176","112,037","4,228","50,723","46,608","4,714","-","162","3,958","-","-","1,644","5,813","1,509","2,124","1,783","397","2,097","1,647","264","-","94,940","14,575"
"110年/ 宜蘭縣","52,749","3,798","48","26","42","425","1,640","462","638","475","-","4","4","34","17,599","996","7,992","6,706","1,094","-","45","766","-","-","-","1,338","218","557","516","47","646","490","137","-","29,368","6,744"
"110年/ 新竹縣","56,913","3,605","30","41","24","366","1,041","1,078","528","392","-","13","3","89","17,646","1,540","6,707","6,603","1,249","-","120","875","-","-","552","1,414","383","513","396","122","1,029","754","237","-","33,219","10,308"
"110年/ 苗栗縣","60,147","3,916","11","5","9","414","1,759","804","515","374","-","3","2","20","15,744","921","6,506","6,043","1,350","-","60","864","-","-","-","1,246","283","485","389","89","222","27","179","-","39,019","17,701"
"110年/ 彰化縣","161,330","8,648","45","75","43","1,311","3,795","1,586","1,068","671","-","7","20","27","48,922","2,164","20,345","20,064","2,517","-","94","1,671","-","-","2,067","4,288","1,077","1,550","1,328","333","1,288","544","707","-","98,184","39,489"
"110年/ 南投縣","50,212","3,726","22","14","22","377","1,548","673","576","444","-","-","4","46","15,661","964","6,623","6,121","1,140","-","81","732","-","-","-","1,346","330","508","375","133","341","106","223","-","29,138","8,279"
"110年/ 雲林縣","68,954","4,546","36","32","40","485","1,662","875","761","610","-","2","5","38","21,270","2,341","8,494","7,815","1,339","-","40","1,146","-","-","95","1,833","515","661","597","60","768","350","408","-","40,537","11,526"
"110年/ 嘉義縣","94,231","3,492","39","15","21","577","1,332","640","479","372","-","-","3","14","48,913","785","5,698","5,232","897","-","37","725","-","-","35,539","1,534","331","546","512","145","446","124","296","-","39,846","16,465"
"110年/ 屏東縣","94,518","7,217","70","8","32","1,337","2,848","1,299","883","548","-","7","12","173","31,120","2,041","12,826","12,149","2,351","-","146","1,375","-","-","232","2,884","667","1,081","831","305","480","105","333","-","52,817","13,269"
"110年/ 臺東縣","28,725","2,682","33","61","111","507","861","453","433","196","-","5","18","4","9,548","633","3,833","3,730","812","-","18","522","-","-","-","1,349","332","498","444","75","747","590","138","-","14,399","1,404"
"110年/ 花蓮縣","42,891","3,204","68","17","52","464","760","984","453","309","-","30","6","61","8,563","1,313","4,852","258","911","-","83","872","-","-","274","1,251","381","435","340","95","651","530","-","-","29,222","9,049"
